obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Blink, Derived, totPwr, class 
269,270.2,753497,257202,69427,25722,15388,75446,44876,26069,56,75,42,0.23,1267627,  X
270,271.1,184774,35346,24354,8720,2669,3455,6843,2956,44,74,61,0.3,269117,  X
271,272.2,858121,577215,105092,37291,13163,13195,15942,16645,34,60,39,0.25,1636664,  X
272,273.1,117355,51999,12686,8764,10473,6057,762,2570,35,56, NA,0.25,210666,  X
273,274.1,42662,10430,1499,7609,9984,12288,10465,5609,43,56, NA,0.12,100546,  X
274,275.1,1081113,425961,69491,45466,71312,119173,47691,24116,54,40, NA,0.19,1884323,  X
275,276.1,227639,227393,28479,20063,8856,22925,14291,20981,66,38, NA,0.22,570627,  X
276,278.1,387085,139606,23342,31576,33360,7402,17460,7438,61,38,44,0.19,647269,  X
277,279.1,252985,231790,56728,38945,21330,14762,3834,5728,30,34, NA,0.3,626102,  X
278,280.1,1054387,81231,42627,5606,12302,17454,3292,2841,37,41, NA,0.19,1219740,  X
279,281.1,170796,95010,1461,1435,965,788,428,526,23,21,57,0.07,271409,  X
280,282.1,913055,199087,48972,23432,17437,22818,24812,3320,24,34, NA,0.2,1252933,  X
281,283.1,42969,29913,6542,5997,3740,7548,2943,2459,35,34, NA,0.25,102111,  X
282,284.1,1780850,77048,38819,28208,25656,5234,9632,5962,24,38, NA,0.14,1971409,  X
283,285,110545,63569,36833,6287,8392,15439,5149,4303,48,64, NA,0.38,250517,  X
284,285.8,239982,178075,27877,11859,19889,10785,7944,9071,43,61,45,0.23,505482,  X
285,286.7,243394,4590,1672,2207,1539,930,3104,1345,40,67,47,0.08,258781,  X
286,287.2,119610,11863,9370,7045,8587,4069,1514,1440,50,69,36,0.24,163498,  X
287,288, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,46, NA, NA,  X
288,288.8,2214115,171619,6544,38607,16149,8311,5135,4010,40,63,59,0.05,2464490,  X
289,290,330783,97436,15767,16395,11226,4123,1718,1760,38,66,55,0.18,479208,  X
290,292,86779,29350,25645,8254,5330,4745,3110,888,35,70, NA,0.4,164101,  X
291,293,2637073,213193,14175,54656,16483,18810,7680,15871,27,61,57,0.07,2977941,  X
